"時間戳記","Country (optional)","How long have you been watching American football?","Which position is generally the core of the offense?","If you have a favorite team, please fill in the name below. (If not, no need to fill in.)","2023 - 2024 [1st]","2023 - 2024 [2nd]","2023 - 2024 [3rd]","2023 - 2024 [4th]","2022 - 2023 [1st]","2022 - 2023 [2nd]","2022 - 2023 [3rd]","2022 - 2023 [4th]","2021 - 2022 [1st]","2021 - 2022 [2nd]","2021 - 2022 [3rd]","2021 - 2022 [4th]","2020 - 2021 [1st]","2020 - 2021 [2nd]","2020 - 2021 [3rd]","2020 - 2021 [4th]","2019 - 2020 [1st]","2019 - 2020 [2nd]","2019 - 2020 [3rd]","2019 - 2020 [4th]","What are the factors that affect your rating?(Optional)
影響您給出排名的因素有哪些?(選填)"
"2024/05/09 11:09:12 下午 GMT+8","","1 ~ 5 years","Quarterback (QB)","","Method 3","Method 2","Method 1","Method 4","Method 2","Method 4","Method 1","Method 3","","","","","","","","","","","","",""
"2024/05/09 11:16:13 下午 GMT+8","","more than 5 years","Quarterback (QB)","Utah","Method 4","Method 1","Method 3","Method 2","Method 4","Method 2","Method 3","Method 1","Method 1","Method 2","Method 3","Method 4","Method 2","Method 3","Method 1","Method 4","Method 3","Method 2","Method 1","Method 4",""
"2024/05/09 11:22:20 下午 GMT+8","United States","more than 5 years","Quarterback (QB)","UConn Huskies","Method 2","Method 3","Method 4","Method 1","Method 2","Method 4","Method 3","Method 1","Method 1","Method 4","","Method 3","Method 1","Method 2","Method 3","Method 4","Method 1","Method 3","Method 2","Method 4",""
"2024/05/09 11:59:50 下午 GMT+8","","more than 5 years","Quarterback (QB)","Alabama Crimson Tide","Method 3","Method 2","Method 4","Method 1","Method 4","Method 2","Method 1","Method 3","Method 2","Method 1","Method 3","Method 4","Method 2","Method 3","Method 1","Method 4","Method 2","Method 3","Method 1","Method 4",""
"2024/05/10 12:49:04 上午 GMT+8","","more than 5 years","Quarterback (QB)","Oregon","Method 2","Method 3","Method 4","Method 1","Method 2","Method 4","Method 1","Method 3","Method 2","Method 1","Method 4","Method 3","Method 2","Method 1","Method 4","Method 3","Method 1","Method 4","Method 2","Method 3",""
"2024/05/10 1:01:15 上午 GMT+8","USA","more than 5 years","Quarterback (QB)","","Method 3","Method 2","Method 4","Method 1","Method 2","Method 3","Method 4","Method 1","Method 1","Method 2","Method 3","Method 4","Method 2","Method 1","Method 3","Method 4","Method 1","Method 2","Method 3","Method 4",""
"2024/05/10 1:12:48 上午 GMT+8","US","more than 5 years","Quarterback (QB)","Michigan ","Method 3","Method 2","Method 1","Method 4","Method 2","Method 4","Method 3","Method 1","Method 2","Method 1","Method 4","Method 3","Method 1","Method 2","Method 3","Method 4","Method 1","Method 3","Method 2","Method 4",""
"2024/05/10 1:16:18 上午 GMT+8","United States","more than 5 years","Quarterback (QB)","Ohio State","Method 3","Method 2","Method 1","Method 4","Method 4","Method 2","Method 1","Method 3","Method 4","Method 2","Method 3","Method 1","Method 3","Method 4","Method 2","Method 1","Method 2","Method 3","Method 4","Method 1",""
"2024/05/10 1:16:41 上午 GMT+8","United States","more than 5 years","Quarterback (QB)","Minnesota Golden Gophers","Method 2","Method 3","Method 1","Method 4","Method 2","Method 1","Method 4","Method 3","Method 2","Method 1","Method 4","Method 3","","","","","Method 1","Method 2","Method 4","Method 3",""
"2024/05/10 2:18:51 上午 GMT+8","United States","more than 5 years","Quarterback (QB)","ULM","Method 1","Method 4","Method 3","Method 2","Method 2","Method 1","Method 4","Method 3","Method 1","Method 4","Method 3","Method 2","Method 2","Method 1","Method 3","Method 4","Method 1","Method 3","Method 2","Method 4",""
"2024/05/10 2:52:27 上午 GMT+8","","1 ~ 5 years","Quarterback (QB)","UCF","Method 3","","","","Method 2","","","","Method 1","","","","","","","","","","","",""
"2024/05/10 3:05:08 上午 GMT+8","United States","more than 5 years","Quarterback (QB)","Iowa State","Method 1","Method 2","Method 3","Method 4","Method 2","Method 1","Method 4","Method 3","Method 2","Method 1","Method 4","Method 3","Method 2","Method 1","Method 4","Method 3","Method 1","Method 2","Method 3","Method 4",""
"2024/05/10 3:16:03 上午 GMT+8","","more than 5 years","Quarterback (QB)","LSU","","","","","","","","","","","","","","","","","Method 1","","","",""
"2024/05/10 6:19:10 上午 GMT+8","","more than 5 years","Quarterback (QB)","The University of Texas at Austin Longhorns","Method 2","Method 3","Method 1","Method 4","Method 2","Method 4","Method 1","Method 3","Method 2","Method 1","Method 4","Method 3","Method 2","Method 3","Method 4","Method 1","Method 2","Method 3","Method 1","Method 4",""
"2024/05/10 6:45:06 上午 GMT+8","United States of America","more than 5 years","Quarterback (QB)","Mississippi State University ","Method 2","Method 3","Method 1","Method 4","Method 2","Method 4","Method 1","Method 3","Method 2","Method 4","Method 1","Method 3","Method 2","Method 1","Method 3","Method 4","","","","",""
"2024/05/10 7:09:15 上午 GMT+8","United States","more than 5 years","Quarterback (QB)","Penn State Nittany Lions","Method 2","Method 3","Method 1","Method 4","Method 4","Method 2","Method 1","Method 3","Method 1","Method 2","Method 3","Method 4","","","","","","","","",""
"2024/05/10 7:09:56 上午 GMT+8","America","more than 5 years","Quarterback (QB)","Byu college, Green Bay packers nfl","Method 3","Method 2","Method 1","Method 4","Method 2","Method 4","Method 3","Method 1","","","","","","","","","","","","",""
"2024/05/10 9:54:21 上午 GMT+8","Usa","more than 5 years","Quarterback (QB)","","Method 2","","","","Method 2","","","","Method 2","","","","Method 2","","","","Method 2","","","",""
"2024/05/10 12:54:06 下午 GMT+8","","more than 5 years","Quarterback (QB)","Wildcats ","Method 2","Method 3","Method 1","Method 4","Method 2","Method 3","Method 4","Method 1","Method 2","Method 3","Method 4","Method 1","Method 2","Method 3","Method 1","Method 4","Method 2","Method 4","Method 3","Method 1",""
